iter	Passed	Remaining
0	167	166966
1	173	86597
2	177	59129
3	183	45694
4	189	37685
5	194	32240
6	198	28209
7	203	25268
8	207	22867
9	212	20988
10	215	19393
11	219	18092
12	223	16964
13	226	15975
14	230	15137
15	234	14393
16	238	13769
17	242	13210
18	246	12710
19	249	12246
20	255	11908
21	259	11543
22	263	11202
23	269	10947
24	273	10666
25	277	10390
26	280	10118
27	286	9953
28	290	9733
29	294	9519
30	298	9337
31	304	9205
32	308	9037
33	312	8880
34	317	8753
35	321	8610
36	325	8474
37	329	8347
38	334	8235
39	337	8107
40	341	7990
41	345	7881
42	350	7811
43	354	7705
44	358	7605
45	362	7518
46	367	7448
47	370	7354
48	374	7264
49	378	7184
50	383	7140
51	387	7060
52	390	6983
53	394	6914
54	399	6859
55	402	6789
56	406	6722
57	410	6661
58	415	6628
59	419	6567
60	422	6507
61	427	6464
62	432	6439
63	436	6383
64	439	6327
65	443	6277
66	448	6239
67	451	6189
68	455	6139
69	458	6097
70	463	6066
71	467	6021
72	469	5967
73	473	5922
74	476	5882
75	481	5852
76	485	5814
77	488	5775
78	492	5743
79	497	5716
80	500	5679
81	504	5642
82	508	5612
83	518	5659
84	533	5743
85	543	5774
86	548	5758
87	552	5726
88	557	5705
89	563	5696
90	566	5662
91	570	5629
92	577	5633
93	581	5605
94	585	5576
95	589	5554
96	593	5527
97	597	5496
98	600	5466
99	604	5440
100	609	5425
101	612	5395
102	616	5366
103	619	5336
104	625	5329
105	628	5301
106	632	5275
107	635	5249
108	642	5248
109	645	5223
110	649	5199
111	652	5170
112	658	5172
113	662	5147
114	665	5123
115	670	5107
116	675	5094
117	678	5071
118	682	5050
119	685	5026
120	690	5019
121	694	4996
122	697	4975
123	701	4957
124	707	4949
125	710	4928
126	713	4907
127	718	4892
128	723	4886
129	727	4866
130	730	4847
131	733	4822
132	738	4815
133	741	4794
134	745	4776
135	748	4758
136	754	4751
137	757	4733
138	761	4714
139	764	4696
140	769	4687
141	773	4673
142	776	4656
143	780	4639
144	785	4633
145	789	4617
146	792	4601
147	796	4585
148	802	4581
149	806	4568
150	809	4554
151	813	4537
152	818	4531
153	822	4516
154	825	4501
155	829	4485
156	833	4477
157	837	4463
158	841	4448
159	844	4433
160	849	4427
161	853	4415
162	856	4399
163	860	4384
164	865	4377
165	868	4362
166	871	4348
167	875	4334
168	878	4321
169	882	4308
170	885	4293
171	889	4280
172	892	4267
173	896	4256
174	901	4247
175	904	4234
176	908	4222
177	911	4210
178	915	4197
179	918	4184
180	921	4170
181	925	4158
182	929	4149
183	933	4141
184	936	4126
185	940	4113
186	943	4101
187	947	4090
188	950	4078
189	953	4066
190	957	4054
191	961	4047
192	965	4036
193	968	4025
194	972	4013
195	976	4004
196	980	3995
197	983	3984
198	987	3973
199	990	3962
200	994	3953
201	998	3943
202	1001	3933
203	1005	3921
204	1009	3914
205	1012	3904
206	1016	3894
207	1020	3884
208	1023	3874
209	1027	3864
210	1030	3853
211	1034	3845
212	1037	3835
213	1042	3827
214	1045	3817
215	1049	3809
216	1052	3799
217	1056	3790
218	1061	3785
219	1068	3788
220	1072	3778
221	1076	3771
222	1079	3761
223	1083	3754
224	1087	3746
225	1090	3736
226	1094	3727
227	1097	3717
228	1101	3707
229	1104	3699
230	1108	3689
231	1111	3679
232	1114	3670
233	1118	3660
234	1122	3652
235	1125	3643
236	1129	3634
237	1132	3625
238	1136	3618
239	1139	3608
240	1143	3601
241	1147	3593
242	1151	3586
243	1154	3578
244	1158	3568
245	1161	3560
246	1165	3552
247	1169	3546
248	1172	3536
249	1176	3528
250	1179	3519
251	1183	3511
252	1186	3502
253	1189	3493
254	1192	3485
255	1196	3476
256	1199	3467
257	1203	3460
258	1206	3450
259	1209	3442
260	1212	3434
261	1216	3426
262	1219	3418
263	1224	3415
264	1228	3406
265	1232	3400
266	1236	3394
267	1239	3386
268	1243	3379
269	1247	3371
270	1250	3365
271	1254	3357
272	1257	3349
273	1261	3341
274	1264	3333
275	1267	3324
276	1271	3317
277	1274	3309
278	1277	3301
279	1280	3292
280	1283	3284
281	1286	3276
282	1290	3268
283	1293	3262
284	1297	3255
285	1301	3248
286	1304	3240
287	1307	3231
288	1310	3224
289	1313	3216
290	1317	3210
291	1320	3202
292	1323	3194
293	1327	3186
294	1330	3179
295	1334	3174
296	1337	3166
297	1341	3160
298	1344	3153
299	1348	3146
300	1352	3139
301	1355	3133
302	1359	3128
303	1362	3120
304	1366	3113
305	1369	3105
306	1372	3098
307	1375	3090
308	1378	3083
309	1382	3076
310	1385	3068
311	1388	3061
312	1391	3054
313	1395	3047
314	1398	3040
315	1401	3033
316	1404	3026
317	1408	3019
318	1411	3012
319	1414	3006
320	1418	2999
321	1421	2993
322	1424	2986
323	1428	2981
324	1434	2978
325	1439	2976
326	1443	2970
327	1450	2970
328	1454	2965
329	1458	2960
330	1462	2955
331	1466	2949
332	1469	2944
333	1473	2938
334	1477	2933
335	1481	2927
336	1484	2921
337	1488	2916
338	1493	2911
339	1496	2905
340	1500	2899
341	1504	2893
342	1508	2889
343	1511	2882
344	1515	2877
345	1518	2870
346	1522	2865
347	1525	2858
348	1529	2853
349	1532	2846
350	1536	2841
351	1539	2834
352	1543	2829
353	1546	2822
354	1550	2817
355	1554	2811
356	1557	2805
357	1561	2799
358	1564	2793
359	1568	2788
360	1571	2782
361	1575	2777
362	1579	2771
363	1583	2766
364	1586	2759
365	1590	2754
366	1593	2747
367	1596	2742
368	1600	2736
369	1603	2730
370	1606	2724
371	1610	2719
372	1614	2713
373	1618	2708
374	1621	2702
375	1624	2696
376	1628	2690
377	1631	2685
378	1635	2679
379	1638	2673
380	1641	2667
381	1645	2661
382	1648	2655
383	1651	2649
384	1655	2644
385	1658	2638
386	1661	2632
387	1665	2626
388	1668	2621
389	1672	2616
390	1676	2610
391	1679	2605
392	1683	2599
393	1686	2593
394	1690	2588
395	1693	2583
396	1697	2578
397	1700	2571
398	1704	2566
399	1707	2560
400	1710	2555
401	1713	2549
402	1717	2544
403	1721	2539
404	1725	2535
405	1729	2529
406	1732	2524
407	1735	2518
408	1739	2513
409	1742	2507
410	1745	2501
411	1748	2495
412	1752	2490
413	1755	2484
414	1758	2478
415	1761	2473
416	1764	2467
417	1767	2461
418	1770	2455
419	1774	2450
420	1777	2444
421	1780	2439
422	1784	2434
423	1787	2428
424	1791	2423
425	1794	2417
426	1797	2412
427	1801	2407
428	1805	2403
429	1809	2398
430	1812	2393
431	1816	2388
432	1820	2383
433	1823	2378
434	1826	2372
435	1830	2367
436	1833	2361
437	1836	2356
438	1839	2350
439	1842	2344
440	1845	2339
441	1848	2334
442	1852	2328
443	1855	2323
444	1858	2317
445	1861	2312
446	1864	2307
447	1868	2301
448	1871	2296
449	1874	2291
450	1877	2286
451	1881	2281
452	1884	2275
453	1888	2270
454	1891	2266
455	1895	2261
456	1899	2256
457	1902	2251
458	1906	2246
459	1909	2241
460	1912	2236
461	1915	2231
462	1919	2226
463	1922	2221
464	1926	2216
465	1929	2211
466	1932	2206
467	1935	2200
468	1939	2195
469	1942	2190
470	1945	2185
471	1949	2180
472	1952	2175
473	1956	2170
474	1959	2166
475	1963	2160
476	1966	2156
477	1969	2151
478	1972	2145
479	1976	2140
480	1979	2136
481	1983	2131
482	1986	2126
483	1990	2121
484	1993	2116
485	1997	2112
486	2000	2106
487	2003	2101
488	2006	2096
489	2009	2092
490	2013	2087
491	2016	2082
492	2019	2077
493	2022	2072
494	2026	2066
495	2029	2062
496	2032	2057
497	2036	2052
498	2039	2047
499	2042	2042
500	2046	2038
501	2050	2034
502	2054	2029
503	2057	2024
504	2060	2020
505	2064	2015
506	2067	2010
507	2071	2006
508	2075	2001
509	2078	1996
510	2081	1992
511	2085	1987
512	2088	1982
513	2092	1978
514	2095	1973
515	2099	1969
516	2104	1965
517	2107	1961
518	2111	1956
519	2114	1952
520	2118	1947
521	2122	1943
522	2125	1938
523	2129	1934
524	2133	1929
525	2136	1925
526	2140	1920
527	2143	1916
528	2147	1911
529	2150	1907
530	2154	1902
531	2157	1898
532	2161	1893
533	2165	1889
534	2169	1885
535	2172	1880
536	2176	1876
537	2180	1872
538	2183	1867
539	2187	1863
540	2191	1858
541	2194	1854
542	2198	1850
543	2202	1845
544	2206	1841
545	2209	1837
546	2213	1833
547	2217	1828
548	2220	1824
549	2224	1820
550	2228	1816
551	2232	1811
552	2235	1807
553	2239	1803
554	2243	1798
555	2246	1794
556	2250	1789
557	2254	1785
558	2258	1781
559	2261	1776
560	2265	1772
561	2268	1768
562	2272	1763
563	2275	1759
564	2279	1754
565	2283	1750
566	2287	1746
567	2290	1742
568	2294	1738
569	2298	1734
570	2303	1730
571	2306	1726
572	2310	1721
573	2313	1717
574	2317	1712
575	2321	1708
576	2324	1704
577	2328	1699
578	2332	1695
579	2336	1692
580	2340	1688
581	2344	1683
582	2348	1679
583	2352	1675
584	2356	1671
585	2359	1667
586	2363	1662
587	2367	1658
588	2370	1654
589	2374	1650
590	2378	1645
591	2381	1641
592	2385	1637
593	2388	1632
594	2392	1628
595	2396	1624
596	2400	1620
597	2403	1615
598	2407	1611
599	2411	1607
600	2415	1603
601	2418	1599
602	2422	1594
603	2425	1590
604	2429	1586
605	2433	1582
606	2436	1577
607	2440	1573
608	2444	1569
609	2447	1565
610	2451	1560
611	2454	1556
612	2458	1552
613	2462	1547
614	2465	1543
615	2469	1539
616	2472	1534
617	2476	1530
618	2479	1526
619	2483	1522
620	2487	1517
621	2490	1513
622	2494	1509
623	2497	1505
624	2501	1500
625	2505	1496
626	2508	1492
627	2511	1487
628	2515	1483
629	2518	1479
630	2522	1474
631	2526	1470
632	2529	1466
633	2533	1462
634	2536	1458
635	2540	1453
636	2543	1449
637	2547	1445
638	2551	1441
639	2554	1437
640	2558	1432
641	2562	1428
642	2565	1424
643	2569	1420
644	2573	1416
645	2576	1412
646	2580	1407
647	2584	1403
648	2588	1399
649	2591	1395
650	2595	1391
651	2598	1387
652	2602	1382
653	2605	1378
654	2609	1374
655	2612	1370
656	2616	1365
657	2619	1361
658	2623	1357
659	2627	1353
660	2631	1349
661	2635	1345
662	2638	1341
663	2641	1336
664	2645	1332
665	2649	1328
666	2653	1324
667	2656	1320
668	2660	1316
669	2663	1311
670	2667	1307
671	2670	1303
672	2673	1299
673	2677	1294
674	2681	1290
675	2684	1286
676	2688	1282
677	2691	1278
678	2702	1277
679	2706	1273
680	2710	1269
681	2713	1265
682	2717	1261
683	2720	1257
684	2724	1252
685	2727	1248
686	2731	1244
687	2735	1240
688	2738	1236
689	2743	1232
690	2746	1228
691	2750	1224
692	2754	1220
693	2758	1216
694	2762	1212
695	2766	1208
696	2770	1204
697	2774	1200
698	2778	1196
699	2782	1192
700	2786	1188
701	2791	1184
702	2794	1180
703	2798	1176
704	2802	1172
705	2806	1168
706	2809	1164
707	2812	1160
708	2816	1156
709	2820	1151
710	2823	1147
711	2827	1143
712	2830	1139
713	2834	1135
714	2838	1131
715	2841	1126
716	2845	1122
717	2848	1118
718	2851	1114
719	2855	1110
720	2859	1106
721	2862	1102
722	2866	1098
723	2870	1094
724	2873	1090
725	2877	1086
726	2881	1082
727	2885	1078
728	2889	1074
729	2893	1070
730	2896	1065
731	2900	1061
732	2904	1057
733	2908	1053
734	2912	1049
735	2915	1045
736	2919	1041
737	2923	1037
738	2926	1033
739	2930	1029
740	2934	1025
741	2937	1021
742	2941	1017
743	2946	1013
744	2950	1010
745	2954	1006
746	2958	1001
747	2961	997
748	2965	993
749	2969	989
750	2972	985
751	2976	981
752	2980	977
753	2984	973
754	2988	969
755	2992	965
756	2995	961
757	2999	957
758	3003	953
759	3007	949
760	3011	945
761	3014	941
762	3018	937
763	3023	933
764	3029	930
765	3033	926
766	3037	922
767	3041	918
768	3044	914
769	3048	910
770	3052	906
771	3056	902
772	3060	898
773	3064	894
774	3068	890
775	3072	886
776	3076	882
777	3080	878
778	3083	874
779	3087	870
780	3091	866
781	3094	862
782	3098	858
783	3102	854
784	3106	850
785	3109	846
786	3113	842
787	3117	838
788	3121	834
789	3125	830
790	3128	826
791	3132	822
792	3136	818
793	3139	814
794	3143	810
795	3147	806
796	3151	802
797	3155	798
798	3158	794
799	3162	790
800	3165	786
801	3169	782
802	3173	778
803	3176	774
804	3179	770
805	3182	766
806	3186	762
807	3189	757
808	3192	753
809	3195	749
810	3198	745
811	3202	741
812	3205	737
813	3209	733
814	3212	729
815	3216	725
816	3220	721
817	3223	717
818	3227	713
819	3231	709
820	3235	705
821	3239	701
822	3243	697
823	3248	693
824	3251	689
825	3255	685
826	3259	681
827	3263	677
828	3267	674
829	3271	670
830	3275	666
831	3279	662
832	3283	658
833	3288	654
834	3291	650
835	3295	646
836	3299	642
837	3303	638
838	3307	634
839	3310	630
840	3313	626
841	3317	622
842	3320	618
843	3324	614
844	3327	610
845	3330	606
846	3334	602
847	3337	598
848	3341	594
849	3344	590
850	3348	586
851	3352	582
852	3355	578
853	3358	574
854	3361	570
855	3365	566
856	3368	562
857	3372	558
858	3375	554
859	3378	550
860	3382	546
861	3385	541
862	3388	537
863	3392	533
864	3395	529
865	3399	525
866	3402	521
867	3405	517
868	3408	513
869	3412	509
870	3415	505
871	3419	501
872	3422	497
873	3426	493
874	3429	489
875	3433	485
876	3436	481
877	3439	477
878	3442	473
879	3446	469
880	3449	465
881	3453	461
882	3456	458
883	3460	454
884	3464	450
885	3467	446
886	3471	442
887	3475	438
888	3479	434
889	3482	430
890	3486	426
891	3489	422
892	3493	418
893	3496	414
894	3500	410
895	3503	406
896	3507	402
897	3510	398
898	3514	394
899	3517	390
900	3521	386
901	3524	382
902	3527	378
903	3531	374
904	3534	371
905	3537	367
906	3540	363
907	3543	359
908	3547	355
909	3550	351
910	3554	347
911	3557	343
912	3562	339
913	3565	335
914	3568	331
915	3572	327
916	3576	323
917	3580	319
918	3583	315
919	3587	311
920	3590	307
921	3594	304
922	3597	300
923	3600	296
924	3604	292
925	3607	288
926	3610	284
927	3614	280
928	3617	276
929	3621	272
930	3624	268
931	3628	264
932	3631	260
933	3634	256
934	3637	252
935	3641	249
936	3645	245
937	3648	241
938	3652	237
939	3655	233
940	3658	229
941	3662	225
942	3665	221
943	3668	217
944	3671	213
945	3674	209
946	3678	205
947	3681	201
948	3684	198
949	3687	194
950	3690	190
951	3693	186
952	3697	182
953	3700	178
954	3703	174
955	3706	170
956	3709	166
957	3713	162
958	3716	158
959	3719	154
960	3723	151
961	3726	147
962	3729	143
963	3733	139
964	3736	135
965	3739	131
966	3743	127
967	3746	123
968	3749	119
969	3753	116
970	3757	112
971	3760	108
972	3764	104
973	3768	100
974	3772	96
975	3775	92
976	3779	88
977	3782	85
978	3787	81
979	3791	77
980	3795	73
981	3799	69
982	3803	65
983	3807	61
984	3811	58
985	3814	54
986	3818	50
987	3822	46
988	3826	42
989	3830	38
990	3833	34
991	3837	30
992	3841	27
993	3844	23
994	3848	19
995	3852	15
996	3855	11
997	3860	7
998	3863	3
999	3867	0
